File Version,BWSpec4.11_1
Run Name,
Product Name,
Batch No,
Lot No,
Sample Suppler,
Sample Notes,
Date,2022-04-26 18:09:49
title,ZAFB
model,BRC112P-V
c code,ZAFB
operator,
20,326.65,30613.55,-30613.55,0.0000,65535.0000,1.0000,1.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
21,327.09,30572.16,-30572.16,0.0000,65535.0000,21.0000,21.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
22,327.54,30530.89,-30530.89,0.0000,65535.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
23,327.98,30489.74,-30489.74,41.0000,65535.0000,61.0000,20.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
24,328.42,30448.70,-30448.70,17.0000,65535.0000,0.0000,-17.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
25,328.86,30407.78,-30407.78,5.0000,65535.0000,33.0000,28.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
26,329.31,30366.98,-30366.98,0.0000,65535.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
27,329.75,30326.29,-30326.29,0.0000,65535.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
28,330.19,30285.72,-30285.72,0.0000,65535.0000,9.0000,9.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
29,330.63,30245.26,-30245.26,0.0000,65535.0000,17.0000,17.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
30,331.07,30204.91,-30204.91,0.0000,65535.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
31,331.51,30164.68,-30164.68,0.0000,65535.0000,1.0000,1.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
32,331.96,30124.56,-30124.56,35.0000,65535.0000,73.0000,38.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
33,332.40,30084.56,-30084.56,3.0000,65535.0000,0.0000,-3.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
34,332.84,30044.66,-30044.66,0.0000,65535.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
35,333.28,30004.88,-30004.88,1.0000,65535.0000,15.0000,14.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
36,333.72,29965.21,-29965.21,0.0000,65535.0000,1.0000,1.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
37,334.16,29925.65,-29925.65,0.0000,65535.0000,27.0000,27.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
38,334.60,29886.20,-29886.20,0.0000,65535.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
39,335.04,29846.86,-29846.86,0.0000,65535.0000,33.0000,33.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
40,335.48,29807.63,-29807.63,0.0000,65535.0000,45.0000,45.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
41,335.93,29768.51,-29768.51,5.0000,65535.0000,0.0000,-5.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
42,336.37,29729.49,-29729.49,0.0000,65535.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
43,336.81,29690.59,-29690.59,0.0000,65535.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
44,337.25,29651.79,-29651.79,0.0000,65535.0000,51.0000,51.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
45,337.69,29613.10,-29613.10,0.0000,65535.0000,35.0000,35.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
46,338.13,29574.51,-29574.51,41.0000,65535.0000,101.0000,60.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
47,338.57,29536.03,-29536.03,0.0000,65535.0000,21.0000,21.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
48,339.01,29497.66,-29497.66,0.0000,65535.0000,65.0000,65.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
49,339.45,29459.39,-29459.39,0.0000,65535.0000,9.0000,9.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
50,339.89,29421.23,-29421.23,0.0000,65535.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
51,340.33,29383.17,-29383.17,0.0000,65535.0000,61.0000,61.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
52,340.77,29345.22,-29345.22,0.0000,65535.0000,41.0000,41.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
53,341.21,29307.37,-29307.37,0.0000,65535.0000,29.0000,29.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
54,341.65,29269.62,-29269.62,0.0000,65535.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
55,342.09,29231.98,-29231.98,0.0000,65535.0000,41.0000,41.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
56,342.53,29194.44,-29194.44,0.0000,65535.0000,39.0000,39.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
57,342.97,29157.00,-29157.00,0.0000,65535.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
58,343.41,29119.66,-29119.66,0.0000,65535.0000,129.0000,129.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
59,343.85,29082.42,-29082.42,0.0000,65535.0000,1.0000,1.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
60,344.29,29045.29,-29045.29,0.0000,65535.0000,119.0000,119.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
61,344.73,29008.25,-29008.25,9.0000,65535.0000,17.0000,8.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
62,345.17,28971.31,-28971.31,0.0000,65535.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
63,345.61,28934.48,-28934.48,0.0000,65535.0000,7.0000,7.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
64,346.05,28897.74,-28897.74,0.0000,65535.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
65,346.49,28861.10,-28861.10,11.0000,65535.0000,0.0000,-11.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
66,346.93,28824.56,-28824.56,0.0000,65535.0000,45.0000,45.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
67,347.37,28788.12,-28788.12,0.0000,65535.0000,19.0000,19.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
68,347.80,28751.77,-28751.77,0.0000,65535.0000,101.0000,101.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
69,348.24,28715.53,-28715.53,0.0000,65535.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
70,348.68,28679.37,-28679.37,0.0000,65535.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
71,349.12,28643.32,-28643.32,0.0000,65535.0000,13.0000,13.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
72,349.56,28607.36,-28607.36,0.0000,65535.0000,3.0000,3.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
73,350.00,28571.50,-28571.50,0.0000,65535.0000,21.0000,21.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
74,350.44,28535.73,-28535.73,0.0000,65535.0000,23.0000,23.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
75,350.88,28500.06,-28500.06,0.0000,65535.0000,81.0000,81.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
76,351.32,28464.48,-28464.48,19.0000,65535.0000,19.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
77,351.75,28428.99,-28428.99,3.0000,65535.0000,0.0000,-3.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
78,352.19,28393.60,-28393.60,0.0000,65535.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
79,352.63,28358.30,-28358.30,0.0000,65535.0000,1.0000,1.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
80,353.07,28323.10,-28323.10,0.0000,65535.0000,89.0000,89.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
81,353.51,28287.99,-28287.99,0.0000,65535.0000,13.0000,13.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
82,353.95,28252.97,-28252.97,5.0000,65535.0000,0.0000,-5.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
83,354.38,28218.04,-28218.04,1.0000,65535.0000,0.0000,-1.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
84,354.82,28183.20,-28183.20,0.0000,65535.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
85,355.26,28148.46,-28148.46,0.0000,65535.0000,93.0000,93.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
86,355.70,28113.81,-28113.81,9.0000,65535.0000,133.0000,124.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
87,356.13,28079.24,-28079.24,37.0000,65535.0000,33.0000,-4.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
88,356.57,28044.77,-28044.77,0.0000,65535.0000,51.0000,51.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
89,357.01,28010.38,-28010.38,0.0000,65535.0000,3.0000,3.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
90,357.45,27976.09,-27976.09,0.0000,65535.0000,1.0000,1.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
91,357.89,27941.88,-27941.88,0.0000,65535.0000,57.0000,57.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
92,358.32,27907.77,-27907.77,0.0000,65535.0000,9.0000,9.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
93,358.76,27873.74,-27873.74,0.0000,65535.0000,65.0000,65.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
94,359.20,27839.80,-27839.80,0.0000,65535.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
95,359.64,27805.95,-27805.95,0.0000,65535.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
96,360.07,27772.18,-27772.18,0.0000,65535.0000,31.0000,31.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
97,360.51,27738.50,-27738.50,0.0000,65535.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
98,360.95,27704.91,-27704.91,0.0000,65535.0000,33.0000,33.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
99,361.38,27671.41,-27671.41,5.0000,65535.0000,61.0000,56.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
100,361.82,27637.99,-27637.99,5.0000,65535.0000,0.0000,-5.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
101,362.26,27604.66,-27604.66,15.0000,65535.0000,21.0000,6.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
102,362.69,27571.41,-27571.41,0.0000,65535.0000,35.0000,35.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
103,363.13,27538.25,-27538.25,7.0000,65535.0000,9.0000,2.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
104,363.57,27505.17,-27505.17,11.0000,65535.0000,61.0000,50.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
105,364.00,27472.17,-27472.17,17.0000,65535.0000,41.0000,24.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
106,364.44,27439.26,-27439.26,33.0000,65535.0000,0.0000,-33.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
107,364.88,27406.44,-27406.44,0.0000,65535.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
108,365.31,27373.70,-27373.70,0.0000,65535.0000,65.0000,65.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
109,365.75,27341.04,-27341.04,31.0000,65535.0000,21.0000,-10.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
110,366.19,27308.46,-27308.46,0.0000,65535.0000,37.0000,37.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
111,366.62,27275.97,-27275.97,1.0000,65535.0000,45.0000,44.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
112,367.06,27243.56,-27243.56,0.0000,65535.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
113,367.50,27211.23,-27211.23,0.0000,65535.0000,33.0000,33.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
114,367.93,27178.98,-27178.98,0.0000,65535.0000,73.0000,73.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
115,368.37,27146.81,-27146.81,43.0000,65535.0000,1.0000,-42.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
116,368.80,27114.73,-27114.73,0.0000,65535.0000,25.0000,25.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
117,369.24,27082.72,-27082.72,0.0000,65535.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
118,369.67,27050.79,-27050.79,0.0000,65535.0000,63.0000,63.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
119,370.11,27018.95,-27018.95,0.0000,65535.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
120,370.55,26987.19,-26987.19,0.0000,65535.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
121,370.98,26955.50,-26955.50,35.0000,65535.0000,1.0000,-34.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
122,371.42,26923.89,-26923.89,45.0000,65535.0000,1.0000,-44.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
123,371.85,26892.37,-26892.37,0.0000,65535.0000,27.0000,27.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
124,372.29,26860.92,-26860.92,0.0000,65535.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
125,372.72,26829.55,-26829.55,15.0000,65535.0000,45.0000,30.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
126,373.16,26798.25,-26798.25,0.0000,65535.0000,27.0000,27.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
127,373.59,26767.04,-26767.04,27.0000,65535.0000,1.0000,-26.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
128,374.03,26735.90,-26735.90,0.0000,65535.0000,37.0000,37.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
129,374.46,26704.84,-26704.84,73.0000,65535.0000,1.0000,-72.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
130,374.90,26673.86,-26673.86,1.0000,65535.0000,51.0000,50.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
131,375.33,26642.95,-26642.95,0.0000,65535.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
132,375.77,26612.12,-26612.12,0.0000,65535.0000,5.0000,5.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
133,376.20,26581.36,-26581.36,0.0000,65535.0000,25.0000,25.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
134,376.64,26550.68,-26550.68,45.0000,65535.0000,91.0000,46.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
135,377.07,26520.08,-26520.08,0.0000,65535.0000,13.0000,13.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
136,377.51,26489.55,-26489.55,35.0000,65535.0000,43.0000,8.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
137,377.94,26459.10,-26459.10,0.0000,65535.0000,105.0000,105.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
138,378.38,26428.72,-26428.72,41.0000,65535.0000,117.0000,76.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
139,378.81,26398.42,-26398.42,3.0000,65535.0000,15.0000,12.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
140,379.24,26368.18,-26368.18,0.0000,65535.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
141,379.68,26338.03,-26338.03,0.0000,65535.0000,17.0000,17.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
142,380.11,26307.95,-26307.95,43.0000,65535.0000,45.0000,2.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
143,380.55,26277.94,-26277.94,0.0000,65535.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
144,380.98,26248.00,-26248.00,5.0000,65535.0000,21.0000,16.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
145,381.42,26218.13,-26218.13,69.0000,65535.0000,5.0000,-64.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
146,381.85,26188.34,-26188.34,73.0000,65535.0000,105.0000,32.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
147,382.28,26158.62,-26158.62,19.0000,65535.0000,161.0000,142.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
148,382.72,26128.98,-26128.98,0.0000,65535.0000,1.0000,1.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
149,383.15,26099.40,-26099.40,0.0000,65535.0000,49.0000,49.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
150,383.58,26069.90,-26069.90,0.0000,65535.0000,165.0000,165.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
151,384.02,26040.46,-26040.46,7.0000,65535.0000,17.0000,10.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
152,384.45,26011.10,-26011.10,0.0000,65535.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
153,384.88,25981.81,-25981.81,25.0000,65535.0000,0.0000,-25.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
154,385.32,25952.59,-25952.59,0.0000,65535.0000,71.0000,71.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
155,385.75,25923.44,-25923.44,0.0000,65535.0000,43.0000,43.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
156,386.18,25894.36,-25894.36,0.0000,65535.0000,9.0000,9.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
157,386.62,25865.34,-25865.34,21.0000,65535.0000,47.0000,26.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
158,387.05,25836.40,-25836.40,1.0000,65535.0000,127.0000,126.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
159,387.48,25807.53,-25807.53,15.0000,65535.0000,129.0000,114.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
160,387.92,25778.73,-25778.73,0.0000,65535.0000,127.0000,127.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
161,388.35,25749.99,-25749.99,0.0000,65535.0000,31.0000,31.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
162,388.78,25721.32,-25721.32,0.0000,65535.0000,93.0000,93.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
163,389.22,25692.72,-25692.72,0.0000,65535.0000,43.0000,43.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
164,389.65,25664.19,-25664.19,0.0000,65535.0000,75.0000,75.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
165,390.08,25635.73,-25635.73,21.0000,65535.0000,27.0000,6.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
166,390.51,25607.34,-25607.34,51.0000,65535.0000,21.0000,-30.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
167,390.95,25579.01,-25579.01,1.0000,65535.0000,13.0000,12.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
