File Version,BWSpec4.11_1,,,,,,,,,
Run Name,,,,,,,,,,
Product Name,,,,,,,,,,
Batch No,,,,,,,,,,
Lot No,,,,,,,,,,
Sample Suppler,,,,,,,,,,
Sample Notes,,,,,,,,,,
Date,26-04-2022 17:59,,,,,,,,,
title,ZAFB,,,,,,,,,
model,BRC112P-V,,,,,,,,,
c code,ZAFB,,,,,,,,,
215,411.63,24293.92,-24293.92,0,65535,0,0,0,0,0
216,412.05,24268.61,-24268.61,0,65535,0,0,0,0,0
217,412.48,24243.36,-24243.36,0,65535,0,0,0,0,0
218,412.91,24218.17,-24218.17,0,65535,0,0,0,0,0
219,413.34,24193.04,-24193.04,0,65535,0,0,0,0,0
220,413.77,24167.96,-24167.96,0,65535,0,0,0,0,0
221,414.2,24142.94,-24142.94,0,65535,0,0,0,0,0
222,414.63,24117.97,-24117.97,0,65535,0,0,0,0,0
223,415.06,24093.06,-24093.06,0,65535,0,0,0,0,0
224,415.49,24068.2,-24068.2,0,65535,0,0,0,0,0
225,415.91,24043.4,-24043.4,0,65535,1,1,0,0,0
226,416.34,24018.66,-24018.66,0,65535,0,0,0,0,0
227,416.77,23993.97,-23993.97,0,65535,0,0,0,0,0
228,417.2,23969.33,-23969.33,0,65535,0,0,0,0,0
229,417.63,23944.75,-23944.75,0,65535,0,0,0,0,0
230,418.06,23920.22,-23920.22,0,65535,0,0,0,0,0
231,418.48,23895.75,-23895.75,0,65535,0,0,0,0,0
232,418.91,23871.33,-23871.33,0,65535,0,0,0,0,0
233,419.34,23846.96,-23846.96,0,65535,0,0,0,0,0
234,419.77,23822.65,-23822.65,0,65535,0,0,0,0,0
235,420.2,23798.39,-23798.39,0,65535,0,0,0,0,0
236,420.62,23774.18,-23774.18,0,65535,0,0,0,0,0
237,421.05,23750.03,-23750.03,0,65535,0,0,0,0,0
238,421.48,23725.93,-23725.93,0,65535,0,0,0,0,0
239,421.91,23701.88,-23701.88,0,65535,0,0,0,0,0
240,422.34,23677.89,-23677.89,0,65535,0,0,0,0,0
241,422.76,23653.94,-23653.94,0,65535,0,0,0,0,0
242,423.19,23630.05,-23630.05,0,65535,1,1,0,0,0
243,423.62,23606.21,-23606.21,0,65535,0,0,0,0,0
244,424.04,23582.43,-23582.43,0,65535,0,0,0,0,0
245,424.47,23558.69,-23558.69,0,65535,1,1,0,0,0
246,424.9,23535.01,-23535.01,0,65535,91,91,0,0,0
247,425.33,23511.38,-23511.38,0,65535,1,1,0,0,0
248,425.75,23487.79,-23487.79,0,65535,0,0,0,0,0
249,426.18,23464.26,-23464.26,0,65535,0,0,0,0,0
250,426.61,23440.78,-23440.78,0,65535,0,0,0,0,0
251,427.03,23417.36,-23417.36,0,65535,0,0,0,0,0
252,427.46,23393.98,-23393.98,0,65535,0,0,0,0,0
253,427.89,23370.65,-23370.65,0,65535,0,0,0,0,0
254,428.31,23347.37,-23347.37,0,65535,0,0,0,0,0
255,428.74,23324.14,-23324.14,0,65535,0,0,0,0,0
256,429.17,23300.97,-23300.97,0,65535,0,0,0,0,0
257,429.59,23277.84,-23277.84,0,65535,0,0,0,0,0
258,430.02,23254.76,-23254.76,0,65535,0,0,0,0,0
259,430.45,23231.73,-23231.73,0,65535,1,1,0,0,0
260,430.87,23208.75,-23208.75,0,65535,0,0,0,0,0
261,431.3,23185.82,-23185.82,0,65535,0,0,0,0,0
262,431.72,23162.94,-23162.94,0,65535,0,0,0,0,0
263,432.15,23140.1,-23140.1,0,65535,0,0,0,0,0
264,432.58,23117.32,-23117.32,0,65535,0,0,0,0,0
265,433,23094.58,-23094.58,0,65535,0,0,0,0,0
266,433.43,23071.89,-23071.89,0,65535,7,7,0,0,0
267,433.85,23049.25,-23049.25,0,65535,3,3,0,0,0
268,434.28,23026.66,-23026.66,0,65535,0,0,0,0,0
269,434.7,23004.12,-23004.12,0,65535,0,0,0,0,0
270,435.13,22981.62,-22981.62,0,65535,0,0,0,0,0
271,435.56,22959.17,-22959.17,0,65535,0,0,0,0,0
272,435.98,22936.77,-22936.77,0,65535,0,0,0,0,0
273,436.41,22914.42,-22914.42,0,65535,0,0,0,0,0
274,436.83,22892.11,-22892.11,0,65535,0,0,0,0,0
275,437.26,22869.85,-22869.85,0,65535,23,23,0,0,0
276,437.68,22847.64,-22847.64,0,65535,0,0,0,0,0
277,438.11,22825.47,-22825.47,0,65535,13,13,0,0,0
278,438.53,22803.35,-22803.35,0,65535,0,0,0,0,0
279,438.96,22781.28,-22781.28,0,65535,0,0,0,0,0
280,439.38,22759.25,-22759.25,0,65535,0,0,0,0,0
281,439.81,22737.27,-22737.27,0,65535,0,0,0,0,0
282,440.23,22715.33,-22715.33,0,65535,0,0,0,0,0
283,440.66,22693.44,-22693.44,0,65535,0,0,0,0,0
284,441.08,22671.6,-22671.6,0,65535,0,0,0,0,0
285,441.51,22649.8,-22649.8,0,65535,0,0,0,0,0
286,441.93,22628.05,-22628.05,0,65535,0,0,0,0,0
287,442.35,22606.34,-22606.34,0,65535,17,17,0,0,0
288,442.78,22584.68,-22584.68,0,65535,0,0,0,0,0
289,443.2,22563.06,-22563.06,0,65535,0,0,0,0,0
290,443.63,22541.48,-22541.48,0,65535,0,0,0,0,0
291,444.05,22519.96,-22519.96,0,65535,0,0,0,0,0
292,444.47,22498.47,-22498.47,0,65535,0,0,0,0,0
293,444.9,22477.03,-22477.03,0,65535,0,0,0,0,0
294,445.32,22455.64,-22455.64,0,65535,0,0,0,0,0
295,445.75,22434.29,-22434.29,0,65535,7,7,0,0,0
296,446.17,22412.98,-22412.98,0,65535,0,0,0,0,0
297,446.59,22391.71,-22391.71,0,65535,0,0,0,0,0
298,447.02,22370.49,-22370.49,0,65535,9,9,0,0,0
299,447.44,22349.32,-22349.32,0,65535,0,0,0,0,0
300,447.86,22328.19,-22328.19,0,65535,0,0,0,0,0
301,448.29,22307.1,-22307.1,0,65535,0,0,0,0,0
302,448.71,22286.05,-22286.05,0,65535,0,0,0,0,0
303,449.13,22265.05,-22265.05,0,65535,0,0,0,0,0
304,449.56,22244.09,-22244.09,0,65535,0,0,0,0,0
305,449.98,22223.17,-22223.17,0,65535,0,0,0,0,0
